REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,JOB,JOB_LABEL,TIME_PERIOD,VALUE
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2024,3304.78
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2024,12740.731
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2023,4277.58
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2023,902.017
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2023,3375.563
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2023,2625.652
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2023,453.499
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2023,2172.153
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2023,1651.928
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2023,448.518
IDN,Indonesia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2023,1203.41
PHL,Philippines,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2023,1917.351
PHL,Philippines,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2023,414.105
PHL,Philippines,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2023,1503.246
