REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
NOR,Norway,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,2.32
NOR,Norway,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2021,0.08
NOR,Norway,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2021,0.09
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.19
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,2.12
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.14
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,0.0
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,0.0
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,0.0
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,0.0
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,0.0
POL,Poland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,0.0
