job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
Economist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Editor,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Electrician,531.736,13129.143,13129.143,531.736,13660.879,0.961076003967241,0.038923996032758944
Emergency Management Specialist,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Entrepreneur,2518.168,5710.225,5710.225,2518.168,8228.393,0.6939660028391935,0.3060339971608065
Environmental Engineer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Ergonomist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Estate Planner,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
Event Coordinator,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Executive Assistant,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Exterminator,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Facilities Manager,6604.327,10796.054,10796.054,6604.327,17400.381,0.6204492878632945,0.3795507121367055
Farmer,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Fashion Designer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Firefighter,3396.599,28456.007999999998,28456.007999999998,3396.599,31852.606999999996,0.8933651176495538,0.10663488235044624
Fishmonger,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Flight Attendant,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Florist,39834.04,43044.372,43044.372,39834.04,82878.41200000001,0.5193677214761305,0.48063227852386936
